Data_Avist,localidade,municipio,estado,Latitude,Longitude
2019-09-24,Barra dos Coqueiros,Barra dos Coqueiros,Sergipe,"10° 56' 26.86"" S","37° 01' 14.35"" W"
2019-10-29,Praia dos Artistas,Aracaju,Sergipe,"10° 58' 26.01"" S","37° 01' 53.51"" W"
2019-11-07,Praia da Ponta dos Mangues,Pirambu,Sergipe,"10° 37' 35.97"" S","36° 40' 13.78"" W"
2019-11-07,Praia Pirambu,Pirambu,Sergipe,"10° 40' 56.58"" S","36° 46' 31.37"" W"
2019-09-02,Atalaia Nova,Barra dos Coqueiros,Sergipe,"10° 56' 58.41"" S","37° 01' 33.97"" W"
2019-11-08,Praia dos Coqueiros,Alcobaça,Bahia,"17° 29' 42.16"" S","39° 11' 33.73"" W"
2019-11-03,Praia de Lençóis,Ilhéus,Bahia,"15° 04' 07.68"" S","38° 59' 49.24"" W"
2019-10-28,Praia do Sul,Ilhéus,Bahia,"14° 54' 34.16"" S","39° 01' 15.45"" W"
2019-11-05,Praia de Atalaia (Barra Sul de Canavieiras),Canavieiras,Bahia,"15° 41' 16.30"" S","38° 55' 45.38"" W"
2019-11-08,Praia dos Corais,Alcobaça,Bahia,"17° 28' 35.73"" S","39° 11' 34.70"" W"
2019-11-08,Praia do quati,Alcobaça,Bahia,"17° 26' 56.84"" S","39° 11' 32.31"" W"
2019-10-21,Praia dos Milionários,Ilhéus,Bahia,"14° 50' 25.34"" S","39° 01' 31.05"" W"
2019-10-29,Praia da Ponta do Ramo,Ilhéus,Bahia,"14° 32' 01.68"" S","39° 02' 12.15"" W"
2019-10-29,Praia da Avenida,Ilhéus,Bahia,"14° 47' 33.02"" S","39° 01' 44.05"" W"
2019-11-07,Praia do Marciano,Ilhéus,Bahia,"14° 46' 49.74"" S","39° 02' 48.45"" W"
2019-11-03,São Domingos,Ilhéus,Bahia,"14° 42' 42.01"" S","39° 03' 55.26"" W"
2019-11-04,Praia de Mamoã,Ilhéus,Bahia,"14° 34' 06.22"" S","39° 02' 53.58"" W"
2019-10-31,Praia Jóia do Atlântico,Ilhéus,Bahia,"14° 37' 52.04"" S","39° 03' 47.26"" W"
2019-10-31,Praia Jóia do Atlântico,Ilhéus,Bahia,"14° 38' 21.02"" S","39° 03' 54.20"" W"
2019-11-07,Guriri,São Mateus,Espírito Santo,"18° 44' 01.18"" S","39° 44' 49.18"" W"
2019-10-07,Foz do Rio Inhampube,Esplanada,Bahia,"12° 05' 59.70"" S","37° 41' 12.96"" W"
2019-11-04,Praia de Arakakaí,Santa Cruz Cabrália,Bahia,"16° 11' 22.42"" S","38° 58' 00.51"" W"
2019-10-31,Praia de Arakakaí,Santa Cruz Cabrália,Bahia,"16° 17' 32.52"" S","39° 01' 21.87"" W"
2019-10-29,Praia de Siribinha,Conde,Bahia,"11° 46' 05.02"" S","37° 31' 33.34"" W"
2019-10-04,Sítio do Conde,Conde,Bahia,"11° 51' 07.46"" S","37° 33' 48.65"" W"
2019-10-05,Itariri,Conde,Bahia,"11° 58' 06.99"" S","37° 37' 09.43"" W"
2019-10-20,Praia de Poças,Conde,Bahia,"11° 48' 36.69"" S","37° 32' 39.87"" W"
2019-11-04,Praia de Taperapuã,Porto Seguro,Bahia,"16° 25' 13.84"" S","39° 03' 11.76"" W"
2019-10-09,Porto de Sauípe,Entre Rios,Bahia,"12° 23' 19.22"" S","37° 52' 45.84"" W"
2019-11-07,Porto Sauípe,Entre Rios,Bahia,"12° 22' 24.11"" S","37° 52' 09.50"" W"
2019-11-08,Porto do Sauipe - Cond. Águas de Sauipe,Entre Rios,Bahia,"12° 21' 56.66"" S","37° 51' 51.05"" W"
2019-11-02,Praia de Itaquena,Porto Seguro,Bahia,"16° 39' 06.31"" S","39° 05' 42.84"" W"
2019-09-07,Catuama,Goiana,Pernambuco,"07° 40' 57.04"" S","34° 50' 04.57"" W"
2019-10-31,Praia de Mucugê,Porto Seguro,Bahia,"16° 29' 43.33"" S","39° 04' 07.12"" W"
2019-11-03,Tecarmo,Aracaju,Sergipe,"11° 00' 56.32"" S","37° 04' 03.22"" W"
2019-09-12,Ponta da Ilha Verde,Nísia Floresta,Rio Grande do Norte,"06° 00' 30.61"" S","35° 06' 22.67"" W"
2019-10-02,Atalaia,Aracaju,Sergipe,"10° 58' 54.66"" S","37° 02' 12.61"" W"
2019-11-05,Ilha dos Namorados,Aracaju,Sergipe,"11° 09' 00.74"" S","37° 09' 31.49"" W"
2019-10-04,Mangue Seco,Jandaíra,Bahia,"11° 27' 42.98"" S","37° 21' 05.03"" W"
2019-10-04,Jandaíra,Jandaíra,Bahia,"11° 33' 53.48"" S","37° 25' 23.76"" W"
2019-10-05,Conde,Jandaíra,Bahia,"11° 44' 32.49"" S","37° 30' 57.86"" W"
2019-10-15,Praia de Aruanã,Aracaju,Sergipe,"11° 06' 27.31"" S","37° 07' 44.59"" W"
2019-11-07,Molhes da praia da Coroa do Meio,Aracaju,Sergipe,"11° 05' 58.84"" S","37° 07' 27.61"" W"
2019-10-13,Ponta da Barra,Marechal Deodoro,Alagoas,"09° 42' 58.11"" S","35° 47' 53.53"" W"
2019-10-19,Ilha de Santo Aleixo,Sirinhaém,Pernambuco,"08° 36' 43.76"" S","35° 01' 23.29"" W"
2019-09-27,Pontal do Coruripe,Coruripe,Alagoas,"10° 09' 41.96"" S","36° 08' 04.85"" W"
2019-10-20,Costa do Sauípe,Mata de São João,Bahia,"12° 26' 23.41"" S","37° 55' 00.39"" W"
2019-11-07,Praia de Massarandupió,Entre Rios,Bahia,"12° 19' 12.48"" S","37° 49' 59.81"" W"
2019-10-17,Barra Grande (sul),Maragogi,Alagoas,"08° 59' 34.52"" S","35° 12' 01.96"" W"
2019-10-01,Santo Antônio,Mata de São João,Bahia,"12° 27' 39.23"" S","37° 56' 00.34"" W"
2019-10-10,Ilha Caçacueira,Cururupu,Maranhão,"01° 28' 50.87"" S","44° 44' 45.87"" W"
2019-09-25,Praia da Mamuna,Alcântara,Maranhão,"02° 15' 43.62"" S","44° 23' 09.49"" W"
2019-09-22,Praia de Itatinga,Alcântara,Maranhão,"02° 24' 41.78"" S","44° 23' 38.21"" W"
2019-09-25,Ilha do Livramento,Alcântara,Maranhão,"02° 25' 04.26"" S","44° 25' 20.77"" W"
