Data_Avist,localidade,municipio,estado,Latitude,Longitude
2019-11-03,Praia do Porto,Barra dos Coqueiros,Sergipe,"10° 52' 00.83"" S","36° 57' 57.53"" W"
2019-09-02,Praia da Costa,Barra dos Coqueiros,Sergipe,"10° 55' 30.62"" S","37° 00' 39.66"" W"
2019-09-24,Praia do Pirambu,Pirambu,Sergipe,"10° 44' 18.73"" S","36° 50' 51.41"" W"
2019-11-05,Praia do Cabeço,Brejo Grande,Sergipe,"10° 29' 41.68"" S","36° 25' 35.41"" W"
2019-11-04,Praia de Pontal do Peba (sul),Piaçabuçu,Alagoas,"10° 21' 34.24"" S","36° 17' 55.80"" W"
2019-10-05,Praia do Pontal do Peba (norte),Piaçabuçu,Alagoas,"10° 20' 45.53"" S","36° 18' 04.56"" W"
2019-11-07,Praia do Saco,Estância,Sergipe,"11° 26' 04.66"" S","37° 21' 26.03"" W"
2019-10-12,Mangue,Estância,Sergipe,"11° 26' 06.46"" S","37° 24' 26.30"" W"
2019-10-09,Foz do Rio São Francisco,Brejo Grande,Sergipe,"10° 29' 31.01"" S","36° 24' 40.75"" W"
2019-11-04,Praia do Saco (3),Estância,Sergipe,"11° 25' 45.27"" S","37° 20' 20.43"" W"
2019-10-20,Barra dos Coqueiros,Maragogi,Alagoas,"08° 58' 01.42"" S","35° 10' 33.84"" W"
2019-10-16,Barra Grande (norte),Maragogi,Alagoas,"08° 55' 05.22"" S","35° 09' 13.47"" W"
2019-11-06,Praia de Peroba,Maragogi,Alagoas,"08° 55' 31.65"" S","35° 09' 32.15"" W"
2019-10-28,Praia de Bitingui,Japaratinga,Alagoas,"09° 06' 26.06"" S","35° 15' 47.10"" W"
2019-11-06,Praia de Bitingui,Japaratinga,Alagoas,"09° 07' 22.22"" S","35° 16' 16.02"" W"
2019-10-28,Praia do Pontal do Boqueirão,Japaratinga,Alagoas,"09° 08' 28.13"" S","35° 17' 12.38"" W"
2019-10-23,Praia do Camacho,Maragogi,Alagoas,"09° 01' 53.37"" S","35° 13' 38.49"" W"
2019-10-18,Praia da Peroba,Maragogi,Alagoas,"08° 55' 56.04"" S","35° 09' 54.67"" W"
2019-10-21,Centro,Maragogi,Alagoas,"09° 00' 45.24"" S","35° 13' 10.68"" W"
2019-10-21,Rio Salgado,Maragogi,Alagoas,"09° 03' 44.36"" S","35° 14' 23.64"" W"
2019-11-01,Manguezal do rio Maragogi,Maragogi,Alagoas,"09° 01' 38.17"" S","35° 13' 32.80"" W"
2019-11-03,Praia de Peroba,Maragogi,Alagoas,"08° 56' 57.89"" S","35° 10' 15.22"" W"
2019-10-21,Praia de Burgalhau,Maragogi,Alagoas,"08° 59' 56.52"" S","35° 12' 26.11"" W"
2019-11-01,Praia de Maragogi,Maragogi,Alagoas,"09° 00' 20.09"" S","35° 12' 49.40"" W"
2019-09-19,Barra de São Miguel,Barra de São Miguel,Alagoas,"09° 49' 32.43"" S","35° 52' 44.12"" W"
2019-10-13,Barra do Rio Santo Antônio,Barra de Santo Antônio,Alagoas,"09° 24' 40.01"" S","35° 29' 48.97"" W"
2019-10-21,Praia Bonita,Barra de São Miguel,Alagoas,"09° 50' 39.97"" S","35° 53' 44.55"" W"
2019-11-06,Praia do Barramar,Barra de São Miguel,Alagoas,"09° 49' 04.32"" S","35° 52' 27.43"" W"
2019-10-25,Praia de Guaxuma,Maceió,Alagoas,"09° 35' 35.08"" S","35° 40' 06.63"" W"
2019-09-17,Ipioca,Maceió,Alagoas,"09° 32' 52.89"" S","35° 37' 02.19"" W"
2019-10-13,Barra do Santo Antônio,Barra de Santo Antônio,Alagoas,"09° 25' 41.30"" S","35° 30' 23.25"" W"
2019-10-13,Ilha da Croa,Barra de Santo Antônio,Alagoas,"09° 23' 04.15"" S","35° 29' 32.65"" W"
2019-11-03,Praia de Japaratinga,Japaratinga,Alagoas,"09° 05' 25.23"" S","35° 15' 25.52"" W"
2019-10-16,Praia de Japaratinga,Japaratinga,Alagoas,"09° 05' 02.86"" S","35° 15' 03.61"" W"
2019-10-21,Foz do Rio Manguba,Japaratinga,Alagoas,"09° 09' 22.71"" S","35° 17' 21.48"" W"
2019-11-01,Praia de Lages,Porto de Pedras,Alagoas,"09° 11' 46.81"" S","35° 18' 47.32"" W"
2019-11-06,Foz do Rio Manguaba,Porto de Pedras,Alagoas,"09° 09' 30.30"" S","35° 17' 42.33"" W"
2019-10-22,Foz do rio Tatuamunha,Porto de Pedras,Alagoas,"09° 13' 29.79"" S","35° 19' 55.87"" W"
2019-08-30,Praia Bela,Pitimbu,Paraíba,"07° 23' 47.15"" S","34° 48' 15.87"" W"
2019-09-07,Praia de Campina,Rio Tinto,Paraíba,"06° 49' 01.92"" S","34° 54' 49.28"" W"
2019-09-07,Lagoa de Praia,Rio Tinto,Paraíba,"06° 48' 29.04"" S","34° 54' 53.76"" W"
2019-09-07,Oiteiro,Rio Tinto,Paraíba,"06° 50' 07.34"" S","34° 54' 38.36"" W"
2019-11-05,Praia da Barra de Sucatinga,Beberibe,Ceará,"04° 13' 21.55"" S","38° 02' 18.16"" W"
2019-10-26,Cumbe,Aracati,Ceará,"04° 28' 00.42"" S","37° 44' 41.44"" W"
2019-11-04,Barra do Rio Pirangi,Beberibe,Ceará,"04° 22' 33.77"" S","37° 51' 24.84"" W"
2019-09-08,Barra de Sucatinga,Beberibe,Ceará,"04° 15' 10.95"" S","38° 00' 16.26"" W"
2019-10-23,Canoa Quebrada,Aracati,Ceará,"04° 31' 07.20"" S","37° 42' 31.47"" W"
2019-09-28,Pontal de Maceió,Fortim,Ceará,"04° 25' 23.61"" S","37° 45' 55.92"" W"
2019-10-14,Quixaba,Aracati,Ceará,"04° 34' 07.88"" S","37° 39' 24.98"" W"
2019-10-21,Praia do Morro de Camaragibe,Passo de Camaragibe,Alagoas,"09° 19' 45.43"" S","35° 26' 19.04"" W"
2019-09-18,Praia do Carro Quebrado,Passo de Camaragibe,Alagoas,"09° 20' 29.63"" S","35° 26' 53.28"" W"
2019-10-29,Praia de Porto da Rua,São Miguel dos Milagres,Alagoas,"09° 14' 37.98"" S","35° 20' 49.68"" W"
2019-09-22,Barra de Santo Antônio,Barra de Santo Antônio,Alagoas,"09° 20' 54.62"" S","35° 27' 51.04"" W"
2019-10-16,Ponta do Mangue,Maragogi,Alagoas,"08° 57' 29.90"" S","35° 10' 23.97"" W"
2019-10-16,Praia do Antunes,Maragogi,Alagoas,"08° 58' 30.26"" S","35° 10' 49.06"" W"
2019-10-26,Praia do Marceneiro,Passo de Camaragibe,Alagoas,"09° 17' 50.44"" S","35° 23' 40.60"" W"
2019-09-22,Paripueira,Paripueira,Alagoas,"09° 27' 40.04"" S","35° 32' 21.08"" W"
2019-09-01,Praia do Cabo Branco,João Pessoa,Paraíba,"07° 08' 35.68"" S","34° 48' 47.14"" W"
2019-09-30,Praia do Amor,Conde,Paraíba,"07° 16' 18.49"" S","34° 48' 08.27"" W"
2019-08-30,Praia de Gramame,Conde,Paraíba,"07° 15' 13.63"" S","34° 48' 21.54"" W"
2019-08-30,Praia de Tambaba,Pitimbu,Paraíba,"07° 22' 10.52"" S","34° 47' 55.44"" W"
2019-10-11,Praia de Massarandupio,Entre Rios,Bahia,"12° 18' 45.57"" S","37° 49' 40.60"" W"
2019-11-02,Praia do Taipe (Praia do Rio da Barra),Porto Seguro,Bahia,"16° 27' 13.03"" S","39° 03' 44.75"" W"
2019-10-07,Foz do Rio Subauma,Entre Rios,Bahia,"12° 13' 34.31"" S","37° 45' 44.73"" W"
2019-10-14,Costa Azul,Jandaíra,Bahia,"11° 40' 42.22"" S","37° 28' 48.88"" W"
2019-10-07,Mamucabo,Esplanada,Bahia,"12° 10' 15.42"" S","37° 43' 44.60"" W"
2019-10-08,Praia do Forte,Mata de São João,Bahia,"12° 34' 14.36"" S","37° 59' 49.03"" W"
2019-10-13,Rio Pojuca,Camaçari,Bahia,"12° 35' 50.38"" S","38° 01' 50.38"" W"
2019-10-10,Arembepe,Camaçari,Bahia,"12° 45' 39.10"" S","38° 10' 00.13"" W"
2019-10-09,Guarajuba,Camaçari,Bahia,"12° 38' 53.72"" S","38° 03' 40.70"" W"
2019-10-09,Praia de Itacimirim,Camaçari,Bahia,"12° 37' 43.16"" S","38° 02' 43.58"" W"
2019-10-31,Trancoso Itapororó,Porto Seguro,Bahia,"16° 37' 04.64"" S","39° 05' 35.78"" W"
2019-10-31,Praia de Itapororoca,Porto Seguro,Bahia,"16° 33' 23.30"" S","39° 05' 11.49"" W"
2019-10-18,Praia de Jauá,Camaçari,Bahia,"12° 49' 38.44"" S","38° 13' 22.94"" W"
2019-09-26,Praia de Sabiaguaba,Fortaleza,Ceará,"03° 48' 07.59"" S","38° 24' 51.13"" W"
2019-10-21,Praia de Barreiras,Icapuí,Ceará,"04° 40' 36.22"" S","37° 23' 56.58"" W"
2019-11-05,Praia do Diogo,Beberibe,Ceará,"04° 11' 53.84"" S","38° 03' 41.44"" W"
2019-09-07,Morro Branco,Beberibe,Ceará,"04° 09' 16.34"" S","38° 06' 22.25"" W"
2019-10-14,Caponga,Cascavel,Ceará,"04° 02' 14.42"" S","38° 12' 00.27"" W"
2019-10-25,Praia da Barra Nova,Cascavel,Ceará,"04° 05' 36.59"" S","38° 09' 16.61"" W"
2019-09-26,Malhada,Jijoca de Jericoacoara,Ceará,"02° 47' 28.03"" S","40° 31' 06.47"" W"
2019-09-28,Praia da Lama,Barroquinha,Ceará,"02° 56' 19.63"" S","41° 19' 16.23"" W"
2019-10-07,Baixio,Esplanada,Bahia,"12° 07' 53.24"" S","37° 42' 19.25"" W"
2019-11-01,Araripe,Santa Cruz Cabrália,Bahia,"16° 10' 25.44"" S","38° 57' 32.92"" W"
2019-09-23,Praia de Taíba,São Gonçalo do Amarante,Ceará,"03° 30' 46.71"" S","38° 52' 59.05"" W"
2019-11-05,Praia de Cumbuco,Caucaia,Ceará,"03° 36' 49.71"" S","38° 45' 11.35"" W"
2019-11-05,Praia de Almofala,Itarema,Ceará,"02° 55' 43.78"" S","39° 49' 33.37"" W"
2019-09-23,Paracuru,Paracuru,Ceará,"03° 24' 14.25"" S","39° 01' 16.44"" W"
2019-11-06,Praia do Contrato,Igrapiúna,Bahia,"13° 51' 15.37"" S","39° 00' 24.63"" W"
2019-11-06,Praia do Contrato,Igrapiúna,Bahia,"13° 50' 44.78"" S","39° 02' 12.53"" W"
2019-10-29,Ponta do Contrato,Ituberá,Bahia,"13° 48' 43.44"" S","39° 03' 19.40"" W"
2019-10-29,Arandi-Algodões,Maraú,Bahia,"14° 04' 11.15"" S","38° 57' 19.60"" W"
2019-11-01,Praia do Casssange,Maraú,Bahia,"13° 59' 58.95"" S","38° 56' 38.89"" W"
2019-10-31,Ponta da Folha,Maraú,Bahia,"14° 08' 19.75"" S","38° 58' 31.32"" W"
2019-10-21,Morro de São Paulo (terceira praia),Cairu,Bahia,"13° 22' 52.07"" S","38° 54' 21.86"" W"
2019-11-07,Terceira Praia,Cairu,Bahia,"13° 23' 09.75"" S","38° 54' 18.71"" W"
2019-10-22,Garapuá,Cairu,Bahia,"13° 28' 58.87"" S","38° 55' 03.07"" W"
2019-10-28,Praia de Cueira,Cairu,Bahia,"13° 35' 43.92"" S","38° 54' 29.38"" W"
2019-10-26,Sirinhaém,Ituberá,Bahia,"13° 47' 25.35"" S","38° 59' 53.26"" W"
2019-11-03,Quarta Praia,Cairu,Bahia,"13° 23' 41.21"" S","38° 54' 25.10"" W"
2019-11-06,Quarta Praia,Cairu,Bahia,"13° 24' 32.66"" S","38° 54' 18.83"" W"
2019-11-02,Praia de Alcobaça (Praia do Centro),Alcobaça,Bahia,"17° 32' 28.01"" S","39° 11' 27.51"" W"
2019-11-06,Praia de Dona Dinha,Alcobaça,Bahia,"17° 39' 40.73"" S","39° 09' 18.06"" W"
2019-11-07,Praia de Olivença,Ilhéus,Bahia,"14° 56' 36.49"" S","39° 00' 40.80"" W"
2019-11-03,Praia do Pontal da Barra,Nova Viçosa,Bahia,"17° 53' 57.06"" S","39° 21' 30.00"" W"
2019-11-06,Praia da Barra (Praia Zeloris),Alcobaça,Bahia,"17° 37' 23.52"" S","39° 10' 51.04"" W"
2019-11-04,Praia da Barra (Novo Prado),Prado,Bahia,"17° 20' 06.62"" S","39° 13' 04.12"" W"
2019-10-26,Praia de São Miguel,Ilhéus,Bahia,"14° 45' 26.33"" S","39° 03' 37.41"" W"
2019-10-19,Itacaré,Itacaré,Bahia,"14° 22' 59.90"" S","39° 00' 36.36"" W"
2019-11-01,Praia do Pontal,Itacaré,Bahia,"14° 16' 13.17"" S","38° 59' 36.41"" W"
2019-11-03,Praia do quartel,Ilhéus,Bahia,"14° 46' 58.75"" S","39° 02' 00.67"" W"
2019-11-07,Praia de São Miguel,Ilhéus,Bahia,"14° 45' 57.52"" S","39° 03' 26.15"" W"
2019-10-22,Acuípe,Ilhéus,Bahia,"15° 05' 14.00"" S","38° 59' 49.78"" W"
2019-10-28,Praia do Pontal de Maracaípe,Ipojuca,Pernambuco,"08° 31' 36.23"" S","35° 00' 24.32"" W"
2019-11-06,Praia da Barra de Sirinhaém,Sirinhaém,Pernambuco,"08° 37' 39.51"" S","35° 03' 34.33"" W"
2019-10-29,Praia do Cupe,Ipojuca,Pernambuco,"08° 27' 07.59"" S","34° 59' 02.90"" W"
2019-11-04,Praia de Porto de Galinhas,Ipojuca,Pernambuco,"08° 30' 05.16"" S","35° 00' 04.24"" W"
2019-11-06,Praia de Guaiamum,Sirinhaém,Pernambuco,"08° 38' 38.54"" S","35° 04' 05.25"" W"
2019-09-07,Tamandaré,Tamandaré,Pernambuco,"08° 45' 57.83"" S","35° 06' 14.73"" W"
2019-10-25,Praia da Barra de Sirinhaém,Sirinhaém,Pernambuco,"08° 37' 10.33"" S","35° 03' 18.64"" W"
2019-09-02,Praia de Nossa Senhora do Ó,Ipojuca,Pernambuco,"08° 26' 36.22"" S","34° 58' 53.38"" W"
2019-09-02,Praia de Gamboa,Ipojuca,Pernambuco,"08° 28' 32.02"" S","34° 59' 37.35"" W"
2019-10-24,Praia da Enseada dos Corais,Cabo de Santo Agostinho,Pernambuco,"08° 19' 00.80"" S","34° 56' 53.13"" W"
2019-09-02,Porto de Galinhas,Ipojuca,Pernambuco,"08° 30' 37.13"" S","35° 00' 03.44"" W"
2019-11-04,Praia de Muro Alto,Ipojuca,Pernambuco,"08° 26' 05.16"" S","34° 58' 41.62"" W"
2019-10-31,Ilha do Francês/Suape,Ipojuca,Pernambuco,"08° 22' 36.83"" S","34° 57' 28.41"" W"
2019-10-25,Praia de Muro Alto,Ipojuca,Pernambuco,"08° 25' 01.45"" S","34° 58' 18.05"" W"
2019-11-04,Praia de Cambôa,Ipojuca,Pernambuco,"08° 29' 01.28"" S","34° 59' 52.76"" W"
2019-10-24,Praia da Armação,Salvador,Bahia,"12° 59' 21.78"" S","38° 26' 07.85"" W"
2019-10-18,Bom Despacho,Salvador,Bahia,"12° 54' 27.49"" S","38° 37' 48.67"" W"
2019-11-06,Praia de Piatã,Salvador,Bahia,"12° 57' 32.83"" S","38° 23' 30.31"" W"
2019-11-05,Quinta Praia (Praia do Encanto),Cairu,Bahia,"13° 26' 09.57"" S","38° 54' 02.46"" W"
2019-10-27,Praia do Pontal,Cairu,Bahia,"13° 34' 41.07"" S","38° 55' 41.27"" W"
2019-11-07,Praia de Guaibim,Valença,Bahia,"13° 19' 20.77"" S","38° 58' 03.70"" W"
2019-10-29,Praia do Porto,Barreiros,Pernambuco,"08° 48' 41.21"" S","35° 07' 17.22"" W"
2019-11-01,Praia da Boca da Barra,Tamandaré,Pernambuco,"08° 46' 29.27"" S","35° 06' 22.49"" W"
2019-10-11,Praia dos Artistas,Salvador,Bahia,"12° 58' 27.14"" S","38° 24' 51.02"" W"
2019-09-25,São José da Coroa Grande,São José da Coroa Grande,Pernambuco,"08° 52' 11.41"" S","35° 07' 54.64"" W"
2019-10-28,Várzea do Una,Barreiros,Pernambuco,"08° 50' 42.06"" S","35° 08' 11.16"" W"
2019-09-07,Baía Formosa,Baía Formosa,Rio Grande do Norte,"06° 22' 04.49"" S","35° 00' 08.29"" W"
2019-11-08,Praia do Sagi,Baía Formosa,Rio Grande do Norte,"06° 25' 52.60"" S","34° 58' 30.36"" W"
2019-10-27,Praia do Pontal,Baía Formosa,Rio Grande do Norte,"06° 19' 16.61"" S","35° 02' 04.18"" W"
2019-09-02,Conceição,Paulista,Pernambuco,"07° 52' 33.71"" S","34° 49' 52.47"" W"
2019-10-27,Nossa Senhora do Ó,Paulista,Pernambuco,"07° 53' 32.28"" S","34° 49' 24.71"" W"
2019-09-02,Maria Farinha,Paulista,Pernambuco,"07° 51' 29.76"" S","34° 50' 04.50"" W"
2019-09-12,Foz do Rio Catu,Tibau do Sul,Rio Grande do Norte,"06° 17' 21.40"" S","35° 02' 04.43"" W"
2019-10-24,Barra da Jangada,Jaboatão dos Guararapes,Pernambuco,"08° 12' 46.74"" S","34° 55' 07.36"" W"
2019-11-04,Praia da Barra da Jangada,Jaboatão dos Guararapes,Pernambuco,"08° 13' 15.58"" S","34° 55' 22.68"" W"
2019-09-03,Candeias,Jaboatão dos Guararapes,Pernambuco,"08° 11' 43.43"" S","34° 55' 03.31"" W"
2019-09-03,Piedade,Jaboatão dos Guararapes,Pernambuco,"08° 10' 39.78"" S","34° 54' 57.63"" W"
2019-10-24,Praia de Gaibu,Cabo de Santo Agostinho,Pernambuco,"08° 20' 04.82"" S","34° 56' 57.22"" W"
2019-09-02,Suape,Ipojuca,Pernambuco,"08° 21' 40.52"" S","34° 57' 31.87"" W"
2019-09-04,Praia do Paiva,Cabo de Santo Agostinho,Pernambuco,"08° 15' 32.59"" S","34° 56' 36.40"" W"
2019-09-07,Praia Ponta de Pedras,Goiana,Pernambuco,"07° 37' 58.96"" S","34° 48' 42.06"" W"
2019-10-25,Pontal do Jaguaribe,Ilha de Itamaracá,Pernambuco,"07° 43' 30.64"" S","34° 49' 42.07"" W"
2019-09-02,Pau Amarelo,Paulista,Pernambuco,"07° 56' 13.41"" S","34° 49' 22.29"" W"
2019-09-02,Praia de Dell Chifre,Olinda,Pernambuco,"08° 01' 39.55"" S","34° 51' 28.84"" W"
2019-10-24,Praia de Jaguaribe,Ilha de Itamaracá,Pernambuco,"07° 43' 57.37"" S","34° 49' 30.55"" W"
2019-09-03,Boa Viagem,Recife,Pernambuco,"08° 08' 35.74"" S","34° 54' 14.23"" W"
2019-10-28,Praia do Sossego,Ilha de Itamaracá,Pernambuco,"07° 42' 32.59"" S","34° 50' 00.14"" W"
2019-10-25,Praia de Quatro Cantos,Ilha de Itamaracá,Pernambuco,"07° 44' 30.08"" S","34° 49' 25.72"" W"
2019-09-11,Rio Punaú,Rio do Fogo,Rio Grande do Norte,"05° 20' 48.04"" S","35° 21' 33.16"" W"
2019-10-21,Praia Carnaubinhas,Touros,Rio Grande do Norte,"05° 12' 06.18"" S","35° 27' 05.36"" W"
2019-09-11,Perobas,Touros,Rio Grande do Norte,"05° 15' 17.78"" S","35° 23' 27.44"" W"
2019-09-14,Cabo de São Roque,Maxaranguape,Rio Grande do Norte,"05° 29' 22.82"" S","35° 15' 38.24"" W"
2019-09-12,Muriú,Maxaranguape,Rio Grande do Norte,"05° 31' 14.26"" S","35° 15' 04.47"" W"
2019-09-17,Ponta de Maracajaú,Maxaranguape,Rio Grande do Norte,"05° 25' 39.45"" S","35° 17' 45.89"" W"
2019-09-11,Barreira do Inferno,Parnamirim,Rio Grande do Norte,"05° 56' 08.57"" S","35° 09' 16.15"" W"
2019-09-14,Praia de Touros,Touros,Rio Grande do Norte,"05° 11' 26.10"" S","35° 27' 48.13"" W"
2019-09-14,Praia do Calcanhar,Touros,Rio Grande do Norte,"05° 09' 45.02"" S","35° 29' 06.09"" W"
2019-09-20,Jenipabu,Extremoz,Rio Grande do Norte,"05° 41' 34.23"" S","35° 12' 22.24"" W"
2019-09-20,Barra do Rio,Extremoz,Rio Grande do Norte,"05° 40' 39.24"" S","35° 12' 59.06"" W"
2019-11-07,Praia de Jenipabu,Extremoz,Rio Grande do Norte,"05° 41' 42.77"" S","35° 11' 55.15"" W"
2019-09-10,Camurupim,Nísia Floresta,Rio Grande do Norte,"06° 04' 38.79"" S","35° 06' 02.23"" W"
2019-11-05,Praia de Búzios,Nísia Floresta,Rio Grande do Norte,"06° 01' 32.70"" S","35° 06' 34.74"" W"
2019-09-10,Barreta,Nísia Floresta,Rio Grande do Norte,"06° 07' 18.87"" S","35° 05' 55.81"" W"
2019-10-21,Praia de Barra de Maxaranguape,Maxaranguape,Rio Grande do Norte,"05° 30' 57.27"" S","35° 15' 27.44"" W"
2019-09-11,Jacumã,Ceará-Mirim,Rio Grande do Norte,"05° 34' 59.11"" S","35° 13' 35.50"" W"
2019-09-10,Maracajaú,Maxaranguape,Rio Grande do Norte,"05° 24' 29.20"" S","35° 18' 40.18"" W"
2019-09-15,Praia de Caraúbas,Maxaranguape,Rio Grande do Norte,"05° 27' 39.63"" S","35° 17' 16.06"" W"
2019-10-22,Praia de Pitangui,Extremoz,Rio Grande do Norte,"05° 37' 07.67"" S","35° 13' 38.15"" W"
2019-10-28,Praia de Graçandu,Extremoz,Rio Grande do Norte,"05° 39' 03.60"" S","35° 13' 03.50"" W"
2019-10-27,Praia de Porto Mirim,Ceará-Mirim,Rio Grande do Norte,"05° 33' 51.42"" S","35° 14' 20.45"" W"
2019-09-20,Praia de Santa Rita,Extremoz,Rio Grande do Norte,"05° 42' 01.65"" S","35° 11' 38.01"" W"
2019-09-22,Praia Canto do Atins,Barreirinhas,Maranhão,"02° 32' 40.66"" S","42° 49' 46.72"" W"
2019-10-29,Praia de Barra Velha,Belmonte,Bahia,"15° 48' 57.62"" S","38° 52' 12.46"" W"
2019-11-02,Praia do Mar Moreno,Belmonte,Bahia,"15° 51' 20.31"" S","38° 51' 28.52"" W"
2019-09-25,Travosa,Santo Amaro do Maranhão,Maranhão,"02° 24' 20.07"" S","43° 08' 05.71"" W"
2019-09-25,Santo Amaro do Maranhão,Santo Amaro do Maranhão,Maranhão,"02° 20' 32.86"" S","43° 20' 58.44"" W"
2019-09-20,Atins,Barreirinhas,Maranhão,"02° 34' 00.25"" S","42° 44' 57.85"" W"
2019-09-26,Av. Litorânea,São Luís,Maranhão,"02° 28' 43.60"" S","44° 14' 34.99"" W"
2019-09-20,Ilha dos Poldros,Araioses,Maranhão,"02° 44' 17.35"" S","41° 47' 41.76"" W"
2019-11-04,Praia Caueira,Itaporanga D'ajuda,Sergipe,"11° 12' 25.71"" S","37° 11' 30.69"" W"
2019-10-30,Coqueirinho,Itaporanga D'ajuda,Sergipe,"11° 10' 48.94"" S","37° 09' 59.75"" W"
2019-10-16,Pedra do Sal,Salvador,Bahia,"12° 57' 10.44"" S","38° 20' 47.10"" W"
2019-11-07,Praia Caueira,Itaporanga D'ajuda,Sergipe,"11° 17' 02.78"" S","37° 15' 24.56"" W"
2019-11-04,Praia de Mogiquiçaba,Belmonte,Bahia,"16° 05' 23.57"" S","38° 57' 02.53"" W"
2019-09-16,Ilha dos Poldros,Araioses,Maranhão,"02° 43' 23.56"" S","41° 51' 18.29"" W"
2019-11-07,Praia Caueira,Itaporanga D'ajuda,Sergipe,"11° 12' 48.58"" S","37° 11' 54.82"" W"
2019-11-01,Praia de Malembá,Senador Georgino Avelino,Rio Grande do Norte,"06° 10' 33.70"" S","35° 05' 46.30"" W"
2019-09-11,Sibaúma/Das Minas,Tibau do Sul,Rio Grande do Norte,"06° 15' 47.76"" S","35° 02' 16.78"" W"
2019-10-25,Praia do Gado Bravo,Tibau,Rio Grande do Norte,"04° 52' 45.94"" S","37° 13' 26.12"" W"
2019-09-10,Praia do Amor,Tibau do Sul,Rio Grande do Norte,"06° 13' 43.47"" S","35° 02' 34.20"" W"
2019-10-28,Praia do Madeiro,Tibau do Sul,Rio Grande do Norte,"06° 13' 22.15"" S","35° 04' 01.95"" W"
2019-09-10,Pirambu,Tibau do Sul,Rio Grande do Norte,"06° 11' 26.68"" S","35° 05' 04.10"" W"
2019-10-24,Praia de Cacimbinhas,Tibau do Sul,Rio Grande do Norte,"06° 12' 10.92"" S","35° 04' 52.57"" W"
2019-09-24,Praia de Alagamar,Natal,Rio Grande do Norte,"05° 53' 30.77"" S","35° 09' 15.30"" W"
2019-09-14,Ponta Negra,Natal,Rio Grande do Norte,"05° 52' 34.16"" S","35° 10' 33.35"" W"
2019-09-21,Praia do Barro Vermelho,Paulino Neves,Maranhão,"02° 39' 06.72"" S","42° 36' 38.73"" W"
2019-09-20,Redinha,Natal,Rio Grande do Norte,"05° 45' 08.83"" S","35° 12' 04.27"" W"
2019-09-07,Via Costeira,Natal,Rio Grande do Norte,"05° 48' 46.41"" S","35° 10' 56.54"" W"
2019-11-04,Ilha Redonda (abrolhos),Caravelas,Bahia,"17° 58' 05.98"" S","38° 42' 40.31"" W"
2019-10-16,Jardim de Alah,Salvador,Bahia,"12° 59' 58.54"" S","38° 26' 47.60"" W"
2019-11-01,Praia da Ponta da Baleia,Caravelas,Bahia,"17° 42' 17.57"" S","39° 09' 02.50"" W"
2019-10-16,Pituba,Salvador,Bahia,"13° 00' 39.90"" S","38° 27' 54.85"" W"
2019-11-02,Moreré,Cairu,Bahia,"13° 38' 57.52"" S","38° 53' 31.95"" W"
2019-10-25,Barra dos Carvalhos,Nilo Peçanha,Bahia,"13° 41' 25.70"" S","38° 57' 56.67"" W"
2019-10-31,Praia da Ponta dos Castelhanos,Cairu,Bahia,"13° 39' 38.15"" S","38° 53' 44.46"" W"
2019-09-01,Praia Formosa,Cabedelo,Paraíba,"06° 58' 05.89"" S","34° 49' 47.80"" W"
